type,category,oppositeAccount,oppositeAmount,date,amount,description
exchange,,~,1500 USD,2016-06-08,,Перевод между счетами
exchange,,~,500 USD,2016-06-19,,Перевод между счетами
exchange,,~,1000 USD,2016-07-13,,Перевод между счетами
exchange,,~,1 USD,2020-03-20,,Перевод между счетами
exchange,,Tinkoff Инвестиции (Основной),~,2020-08-17,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (Основной),~,2020-10-08,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (Основной),~,2020-11-23,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (Основной),~,2021-01-04,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (Основной),~,2021-12-27,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (Основной),~,2022-02-16,150000,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (Основной),~,2022-09-29,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (ИИС),~,2020-03-30,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (ИИС),~,2020-03-31,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (ИИС),~,2020-12-04,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (ИИС),~,2021-02-18,,Пополнение счета Тинькофф Брокер
exchange,,Tinkoff Инвестиции (ИИС),~,2021-11-01,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (ИИС),~,2021-11-17,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (ИИС),~,2021-11-25,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (ИИС),~,2021-12-03,,Пополнение брокерского счета
exchange,,Tinkoff Инвестиции (ИИС),~,2022-02-16,100000,Пополнение брокерского счета
exchange,,Банк ЦентрКредит,375000 KZT,2022-10-09,,KORONAPAY
exchange,,Банк ЦентрКредит,460000 KZT,2022-10-09,,KORONAPAY
exchange,,Банк ЦентрКредит,209262 KZT,2022-10-06,,KORONAPAY
exchange,,Kaspi Банк,50000 KZT,2022-10-03,,KORONAPAY
exchange,,Наличка,20000 RUB,2022-09-25,20200,CONTACT
exchange,,Наличка,10000 RUB,2022-09-25,10100,CONTACT
exchange,,Наличка,100000 KZT,2022-09-25,12958.76,CONTACT
exchange,,Наличка,30000 KZT,2022-09-25,5050,CONTACT
exchange,,Tinkoff Депозит,~,2022-09-01,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-05-05,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-04-15,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-02-24,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-02-14,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-02-01,,Перевод между счетами
exchange,,Tinkoff Депозит,~,2022-01-20,,Перевод между счетами
exchange,,Tinkoff Депозит,~,,,Изъятие вклада при закрытии
exchange,,Tinkoff Депозит,~,2016-0.*,,Пополнение вклада
exchange,,Binance,63.25 USDT,2022-09-29,4000,Александр Л
exchange,,Binance,157.48 USDT,2022-10-06,10000,Игорь М
exchange,,Сбер Карта (0050),~,2020-06-30,3000,Перевод на карту
exchange,,Сбер Карта (0050),~,2020-03-04,20000,Перевод на карту
exchange,,Сбер Карта (0050),~,2020-01-20,20000,Перевод на карту
exchange,,Сбер Карта (0050),55800 RUB,2020-01-22,55000,Александра О
